ID,Severity,CWE,Type,Tool,Location,Path,FileName,Line,Status
4,Info,,Missing '()' invoking constructor,JSHint,whatsapp\client\lib\sjcl\js\sjcl-1.0.7.js,whatsapp\client\lib\sjcl\js,,101,Escalated
5,High,77,Command Injection,ESLint,whatsapp\client\lib\sjcl\js\sjcl-1.0.7.js,whatsapp\client\lib\sjcl\js,,148,Escalated
6,Info,,Expected an assignment or function call and saw an expression,JSHint,whatsapp\client\lib\sjcl\js\sjcl-1.0.7.js,whatsapp\client\lib\sjcl\js,,69,Escalated
7,High,77,Command Injection,ESLint,whatsapp\client\lib\sjcl\js\sjcl-1.0.7.js,whatsapp\client\lib\sjcl\js,,87,Escalated
8,Low,398,Disallow variable redeclaration,ESLint,whatsapp\client\lib\sjcl\js\sjcl-1.0.7.js,whatsapp\client\lib\sjcl\js,,49,Escalated
9,High,77,Command Injection,ESLint,whatsapp\client\lib\sjcl\js\sjcl-1.0.7.js,whatsapp\client\lib\sjcl\js,,67,Escalated
10,High,77,Command Injection,ESLint,whatsapp\client\lib\sjcl\js\sjcl-1.0.7.js,whatsapp\client\lib\sjcl\js,,10,Escalated
11,Info,,Expected conditional expression and saw an assignment,JSHint,whatsapp\client\lib\sjcl\js\sjcl-1.0.7.js,whatsapp\client\lib\sjcl\js,,78,Escalated
12,Info,,Function already defined,JSHint,whatsapp\client\lib\sjcl\js\sjcl-1.0.7.js,whatsapp\client\lib\sjcl\js,,32,False Positive
13,High,77,Command Injection,ESLint,whatsapp\client\lib\sjcl\js\sjcl-1.0.7.js,whatsapp\client\lib\sjcl\js,,9,Escalated
14,Info,,Function already defined,JSHint,whatsapp\client\lib\sjcl\js\sjcl-1.0.7.js,whatsapp\client\lib\sjcl\js,,124,False Positive
15,High,77,Command Injection,ESLint,whatsapp\client\lib\sjcl\js\sjcl-1.0.7.js,whatsapp\client\lib\sjcl\js,,4,Escalated
16,Info,,Expected an assignment or function call and saw an expression,JSHint,whatsapp\client\lib\sjcl\js\sjcl-1.0.7.js,whatsapp\client\lib\sjcl\js,,146,Escalated
17,Info,,Expected an assignment or function call and saw an expression,JSHint,whatsapp\client\lib\sjcl\js\sjcl-1.0.7.js,whatsapp\client\lib\sjcl\js,,54,Escalated
18,High,77,Command Injection,ESLint,whatsapp\client\lib\sjcl\js\sjcl-1.0.7.js,whatsapp\client\lib\sjcl\js,,76,Escalated
19,Info,,Expected an assignment or function call and saw an expression,JSHint,whatsapp\client\lib\sjcl\js\sjcl-1.0.7.js,whatsapp\client\lib\sjcl\js,,82,Escalated
20,Low,561,Dead Code,ESLint,whatsapp\client\lib\sjcl\js\sjcl-1.0.7.js,whatsapp\client\lib\sjcl\js,,129,Escalated
21,Info,,Expected an assignment or function call and saw an expression,JSHint,whatsapp\client\lib\sjcl\js\sjcl-1.0.7.js,whatsapp\client\lib\sjcl\js,,87,Escalated
22,Low,561,Dead Code,ESLint,whatsapp\client\lib\sjcl\js\sjcl-1.0.7.js,whatsapp\client\lib\sjcl\js,,82,Escalated
