beginline,begincolumn,endline,endcolumn,description,rule,ruleset,priority,externalInfoUrl
3,0,40,0,CommentRequired: Class comments are required,CommentRequired,Documentation,3,https://pmd.github.io/pmd-6.49.0/pmd_rules_java_documentation.html#commentrequired
3,0,40,0,CommentRequired: Class comments are required,CommentRequired,Documentation,3,https://pmd.github.io/pmd-6.49.0/pmd_rules_java_documentation.html#commentrequired
5,0,5,0,"BeanMembersShouldSerialize: Found non-transient, non-static member. Please mark as transient or provide accessors.",BeanMembersShouldSerialize,Error Prone,3,https://pmd.github.io/pmd-6.49.0/pmd_rules_java_errorprone.html#beanmembersshouldserialize
5,0,5,0,"BeanMembersShouldSerialize: Found non-transient, non-static member. Please mark as transient or provide accessors.",BeanMembersShouldSerialize,Error Prone,3,https://pmd.github.io/pmd-6.49.0/pmd_rules_java_errorprone.html#beanmembersshouldserialize
5,0,5,0,CommentDefaultAccessModifier: To avoid mistakes add a comment at the beginning of the arr field if you want a default access modifier,CommentDefaultAccessModifier,Code Style,3,https://pmd.github.io/pmd-6.49.0/pmd_rules_java_codestyle.html#commentdefaultaccessmodifier
5,0,5,0,CommentDefaultAccessModifier: To avoid mistakes add a comment at the beginning of the arr field if you want a default access modifier,CommentDefaultAccessModifier,Code Style,3,https://pmd.github.io/pmd-6.49.0/pmd_rules_java_codestyle.html#commentdefaultaccessmodifier
5,0,5,0,CommentRequired: Field comments are required,CommentRequired,Documentation,3,https://pmd.github.io/pmd-6.49.0/pmd_rules_java_documentation.html#commentrequired
5,0,5,0,CommentRequired: Field comments are required,CommentRequired,Documentation,3,https://pmd.github.io/pmd-6.49.0/pmd_rules_java_documentation.html#commentrequired
5,0,5,0,DefaultPackage: Use explicit scoping instead of the default package private level,DefaultPackage,Code Style,3,https://pmd.github.io/pmd-6.49.0/pmd_rules_java_codestyle.html#defaultpackage
5,0,5,0,DefaultPackage: Use explicit scoping instead of the default package private level,DefaultPackage,Code Style,3,https://pmd.github.io/pmd-6.49.0/pmd_rules_java_codestyle.html#defaultpackage
7,0,8,0,CommentDefaultAccessModifier: To avoid mistakes add a comment at the beginning of the BinarySearch constructor if you want a default access modifier,CommentDefaultAccessModifier,Code Style,3,https://pmd.github.io/pmd-6.49.0/pmd_rules_java_codestyle.html#commentdefaultaccessmodifier
7,0,8,0,CommentDefaultAccessModifier: To avoid mistakes add a comment at the beginning of the BinarySearch constructor if you want a default access modifier,CommentDefaultAccessModifier,Code Style,3,https://pmd.github.io/pmd-6.49.0/pmd_rules_java_codestyle.html#commentdefaultaccessmodifier
7,0,8,0,UncommentedEmptyConstructor: Document empty constructor,UncommentedEmptyConstructor,Documentation,3,https://pmd.github.io/pmd-6.49.0/pmd_rules_java_documentation.html#uncommentedemptyconstructor
7,0,8,0,UncommentedEmptyConstructor: Document empty constructor,UncommentedEmptyConstructor,Documentation,3,https://pmd.github.io/pmd-6.49.0/pmd_rules_java_documentation.html#uncommentedemptyconstructor
11,0,11,0,MethodArgumentCouldBeFinal: Parameter 'arr' is not assigned and could be declared final,MethodArgumentCouldBeFinal,Code Style,3,https://pmd.github.io/pmd-6.49.0/pmd_rules_java_codestyle.html#methodargumentcouldbefinal
11,0,11,0,MethodArgumentCouldBeFinal: Parameter 'arr' is not assigned and could be declared final,MethodArgumentCouldBeFinal,Code Style,3,https://pmd.github.io/pmd-6.49.0/pmd_rules_java_codestyle.html#methodargumentcouldbefinal
11,0,11,0,UseVarargs: Consider using varargs for methods or constructors which take an array the last parameter.,UseVarargs,Best Practices,4,https://pmd.github.io/pmd-6.49.0/pmd_rules_java_bestpractices.html#usevarargs
11,0,11,0,UseVarargs: Consider using varargs for methods or constructors which take an array the last parameter.,UseVarargs,Best Practices,4,https://pmd.github.io/pmd-6.49.0/pmd_rules_java_bestpractices.html#usevarargs
12,0,12,0,ArrayIsStoredDirectly: The user-supplied array 'arr' is stored directly.,ArrayIsStoredDirectly,Best Practices,3,https://pmd.github.io/pmd-6.49.0/pmd_rules_java_bestpractices.html#arrayisstoreddirectly
12,0,12,0,ArrayIsStoredDirectly: The user-supplied array 'arr' is stored directly.,ArrayIsStoredDirectly,Best Practices,3,https://pmd.github.io/pmd-6.49.0/pmd_rules_java_bestpractices.html#arrayisstoreddirectly
15,0,31,0,CommentRequired: Public method and constructor comments are required,CommentRequired,Documentation,3,https://pmd.github.io/pmd-6.49.0/pmd_rules_java_documentation.html#commentrequired
15,0,31,0,CommentRequired: Public method and constructor comments are required,CommentRequired,Documentation,3,https://pmd.github.io/pmd-6.49.0/pmd_rules_java_documentation.html#commentrequired
15,0,15,0,MethodArgumentCouldBeFinal: Parameter 'target' is not assigned and could be declared final,MethodArgumentCouldBeFinal,Code Style,3,https://pmd.github.io/pmd-6.49.0/pmd_rules_java_codestyle.html#methodargumentcouldbefinal
15,0,15,0,MethodArgumentCouldBeFinal: Parameter 'target' is not assigned and could be declared final,MethodArgumentCouldBeFinal,Code Style,3,https://pmd.github.io/pmd-6.49.0/pmd_rules_java_codestyle.html#methodargumentcouldbefinal
19,0,19,0,LocalVariableCouldBeFinal: Local variable 'mid' could be declared final,LocalVariableCouldBeFinal,Code Style,3,https://pmd.github.io/pmd-6.49.0/pmd_rules_java_codestyle.html#localvariablecouldbefinal
19,0,19,0,LocalVariableCouldBeFinal: Local variable 'mid' could be declared final,LocalVariableCouldBeFinal,Code Style,3,https://pmd.github.io/pmd-6.49.0/pmd_rules_java_codestyle.html#localvariablecouldbefinal
22,0,22,0,"OnlyOneReturn: A method should have only one exit point, and that should be the last statement in the method",OnlyOneReturn,Code Style,3,https://pmd.github.io/pmd-6.49.0/pmd_rules_java_codestyle.html#onlyonereturn
22,0,22,0,"OnlyOneReturn: A method should have only one exit point, and that should be the last statement in the method",OnlyOneReturn,Code Style,3,https://pmd.github.io/pmd-6.49.0/pmd_rules_java_codestyle.html#onlyonereturn
33,0,38,0,CommentRequired: Public method and constructor comments are required,CommentRequired,Documentation,3,https://pmd.github.io/pmd-6.49.0/pmd_rules_java_documentation.html#commentrequired
